Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00147738],[0.00104419],[0.00057271]
1,35.03666830062866,4.419947817470089,19.654770135879517,[0.00142425],[0.00098146],[0.00055429]
2,37.16086411476135,4.11266944384334,20.701825380325317,[0.00134319],[0.00092027],[0.00052917]
3,34.535134077072144,3.8260317565214756,21.82388663291931,[0.00121891],[0.00084705],[0.00047391]
4,41.27836799621582,3.5754370966342965,23.68771505355835,[0.00120768],[0.00084975],[0.00045549]
5,35.09614086151123,3.327500561873118,25.378408193588257,[0.00113128],[0.00078305],[0.00042367]
6,38.95030879974365,3.1153287195196055,20.32089877128601,[0.00107691],[0.00074042],[0.00040358]
7,36.057902097702026,2.9093477659755282,20.07091784477234,[0.00104813],[0.00070499],[0.0003952]
8,41.045912742614746,2.7232861765707383,21.841658115386963,[0.00101938],[0.00070569],[0.00038683]
9,40.45860314369202,2.557452875556368,29.60589098930359,[0.0010211],[0.00070031],[0.00038516]
10,45.77261567115784,2.410441796586971,25.444909811019897,[0.00100581],[0.00071395],[0.00037343]
11,50.22152829170227,2.253232201542517,32.41631269454956,[0.00101118],[0.00070136],[0.00036506]
12,68.12882614135742,2.115801470749306,41.248719930648804,[0.00094071],[0.00069164],[0.00034999]
13,71.9939181804657,2.0045425187457693,29.7902569770813,[0.00093745],[0.00066873],[0.00034497]
14,60.656331300735474,1.8950441217783727,28.57681179046631,[0.00091697],[0.00064293],[0.00033827]
15,39.81004881858826,1.781661758820216,27.440218687057495,[0.00093387],[0.00066482],[0.00033994]
16,41.747849225997925,1.6858048857462526,26.90402126312256,[0.00091134],[0.00061383],[0.00032822]
17,50.53131723403931,1.6059577374747305,23.25869059562683,[0.00092475],[0.00062017],[0.00033157]
18,40.03383111953735,1.5097774495982161,28.92279624938965,[0.00093359],[0.00062942],[0.0003232]
19,39.57908344268799,1.4385256415063685,25.11808204650879,[0.00094764],[0.00067567],[0.00031817]
20,35.48910593986511,1.367438878073837,20.676748991012573,[0.00096508],[0.00062954],[0.00033324]
21,34.886651039123535,1.2944562128095916,21.056103229522705,[0.00100715],[0.00069623],[0.00033324]
22,38.061078786849976,1.2247109199413146,21.121837377548218,[0.0010545],[0.00069966],[0.00034497]
23,39.53184175491333,1.1739299896389548,40.21044564247131,[0.00114078],[0.00072137],[0.00035334]
24,43.62068176269531,1.1164000972051813,27.204535484313965,[0.00117216],[0.00071075],[0.00034999]
25,61.95882987976074,1.0584305851447462,29.288861751556396,[0.00118745],[0.00073804],[0.00036506]
26,54.54124975204468,1.0080780760206358,26.91291832923889,[0.00124363],[0.0008441],[0.00038013]
27,42.801477670669556,0.9585200522584144,25.471047401428223,[0.0012565],[0.00082598],[0.00039688]
28,46.398677825927734,0.9193701126960793,23.285857439041138,[0.00138505],[0.00085725],[0.00042535]
29,43.80222463607788,0.8788748080983306,23.172223329544067,[0.00141262],[0.00089844],[0.00044377]
30,41.41688251495361,0.8386851284239027,21.729617834091187,[0.0014535],[0.00093276],[0.00046554]
31,41.520747423172,0.8018598991512048,22.83103919029236,[0.00148009],[0.00089588],[0.00047558]
32,38.43526339530945,0.7648126531128931,22.101829290390015,[0.0015277],[0.00102817],[0.00048898]
33,43.80108428001404,0.7288105943889329,24.476874351501465,[0.00158925],[0.00101388],[0.00049735]
34,46.01498985290527,0.6960235801008012,31.540672779083252,[0.00168026],[0.0010666],[0.00051577]
35,63.39711141586304,0.6669919236440851,39.93473029136658,[0.00178333],[0.00109284],[0.00055262]
36,62.30099654197693,0.6378570745388666,30.406242847442627,[0.00185079],[0.00114249],[0.00057941]
37,51.03121781349182,0.6131902037545888,27.915108919143677,[0.00188519],[0.00124705],[0.00060285]
38,54.83177947998047,0.5834110860120166,40.92182683944702,[0.00197308],[0.00124355],[0.000633]
39,59.87436866760254,0.5596888542476327,30.421300888061523,[0.0020814],[0.00133972],[0.00066816]
40,51.65898656845093,0.5369525040791492,30.89032483100891,[0.00222148],[0.00146795],[0.00069161]
41,60.44840431213379,0.5095862015479743,33.15780448913574,[0.0023344],[0.00150664],[0.00072677]
42,79.0015754699707,0.49072754676594876,28.966230869293213,[0.00246403],[0.00152848],[0.00077869]
43,59.25593900680542,0.47024069711415456,36.36865210533142,[0.00260003],[0.00172238],[0.00082892]
44,50.081026554107666,0.4487779052420096,34.10516381263733,[0.00278887],[0.00175566],[0.00088419]
45,52.58042120933533,0.4326981743327295,26.55299162864685,[0.00292624],[0.00188178],[0.00093945]
46,38.99742126464844,0.41270069364044404,25.397791624069214,[0.00312644],[0.00200121],[0.00099806]
47,39.00326418876648,0.39734558896584943,22.347894430160522,[0.00325353],[0.00221066],[0.00106337]
48,38.87153148651123,0.38137399472973565,30.3393132686615,[0.00340834],[0.00228769],[0.00110523]
49,60.43056845664978,0.36588047286777786,23.363858222961426,[0.00372199],[0.00252308],[0.00122078]
50,42.805325746536255,0.3499976849616176,23.15093183517456,[0.00384599],[0.00248923],[0.00127939]
51,38.56421995162964,0.33237707009068646,21.437033653259277,[0.00409345],[0.00278568],[0.00135977]
52,36.04400300979614,0.32307743845563947,21.580920457839966,[0.00435408],[0.00294511],[0.00148201]
53,39.31833338737488,0.30922784468140263,25.395938634872437,[0.00464683],[0.00315867],[0.00158584]
54,37.851853132247925,0.29680712204990967,26.89333462715149,[0.00490562],[0.00338423],[0.00170139]
55,44.39402151107788,0.28452727834534164,29.195661067962646,[0.00517846],[0.00343868],[0.00180186]
56,56.0349223613739,0.2747905816920478,30.523632526397705,[0.00535352],[0.0036801],[0.00189899]
57,58.307504415512085,0.2614941100655782,32.215134143829346,[0.00556616],[0.00385993],[0.00199611]
58,55.35821843147278,0.2543751909350506,31.693157196044922,[0.00586416],[0.00401763],[0.00211166]
59,53.55397081375122,0.24358194656293802,32.096675872802734,[0.00601672],[0.00419171],[0.00221046]
60,54.159350633621216,0.23351699990606067,31.505645990371704,[0.00617338],[0.00440754],[0.00231261]
61,39.08263802528381,0.22688915712213276,20.57540535926819,[0.00644308],[0.00452893],[0.00242816]
62,35.544445514678955,0.21759978124890664,20.61187720298767,[0.00671714],[0.00483117],[0.00255878]
63,40.831008195877075,0.20876678433081117,30.364492177963257,[0.00697012],[0.00516703],[0.00268102]
64,55.99417591094971,0.20253308512496226,22.234586715698242,[0.00724558],[0.00540936],[0.00280662]
65,44.57822036743164,0.19473835901178496,23.822848796844482,[0.00744552],[0.00542915],[0.00293891]
66,42.951343059539795,0.18738531159481617,21.943176984786987,[0.00780053],[0.00586497],[0.00312312]
67,39.10098743438721,0.1802143201307215,24.887128353118896,[0.00794652],[0.00593404],[0.00323364]
68,43.66641068458557,0.17515202948466094,23.418038606643677,[0.00830295],[0.00616659],[0.00339273]
69,45.11450242996216,0.16955722985093039,31.27611231803894,[0.00855026],[0.0065852],[0.00352669]
70,55.088711738586426,0.16182953869980393,29.82088303565979,[0.00885388],[0.00674085],[0.00367741]
71,51.74771523475647,0.15623487317652412,29.73888325691223,[0.00905805],[0.00694293],[0.00381137]
72,54.14081645011902,0.15112057958513198,31.030932426452637,[0.00929562],[0.00699723],[0.00395204]
73,57.14157295227051,0.14620461444737334,30.36898183822632,[0.00955593],[0.00708752],[0.00409438]
74,50.37174987792969,0.1420563596366632,32.05353546142578,[0.0098461],[0.00750044],[0.00424677]
75,54.19207811355591,0.1368207943748043,29.411943435668945,[0.0100764],[0.00770024],[0.00437906]
76,52.39630627632141,0.1325992586260492,29.549043893814087,[0.01038219],[0.00803093],[0.00456327]
77,52.46528744697571,0.12627922948637996,29.956701278686523,[0.01063898],[0.00811749],[0.00471063]
78,50.24681568145752,0.12480429672833646,29.7030508518219,[0.01090467],[0.00851606],[0.00484962]
79,51.07197284698486,0.12071947123140397,31.011823892593384,[0.01107313],[0.00863722],[0.00497019]
80,52.17131543159485,0.11650686107124343,29.506717920303345,[0.01119284],[0.00875206],[0.0050489]
81,48.854857206344604,0.11158556301109117,28.935887813568115,[0.01136799],[0.00899026],[0.00520631]
82,49.78024888038635,0.10972766463428435,29.30993366241455,[0.01163622],[0.00915887],[0.00537712]
83,51.38304400444031,0.10737490588140608,30.137625217437744,[0.01182621],[0.00944218],[0.00548597]
84,53.233556509017944,0.10259487777195796,30.909756422042847,[0.01221831],[0.0097315],[0.00564003]
85,56.11452555656433,0.10116805903839343,30.27978205680847,[0.01243318],[0.00989733],[0.005774]
86,49.31269717216492,0.09739206430285868,34.408891916275024,[0.01254362],[0.01006061],[0.0058795]
87,55.32819080352783,0.09497821646168678,29.066046953201294,[0.01274451],[0.01018378],[0.00599002]
88,44.97001504898071,0.09224855085138721,27.906893491744995,[0.01299247],[0.01018468],[0.00612399]
89,46.04321360588074,0.08997124448569134,22.989808082580566,[0.01322659],[0.01064055],[0.0062613]
90,39.19408631324768,0.08711332062052356,28.192772388458252,[0.01344396],[0.01065048],[0.00636178]
91,44.98395872116089,0.08364598933757857,20.845405101776123,[0.01360859],[0.01098938],[0.00647565]
92,37.69075107574463,0.08186496099965139,24.716172456741333,[0.01386157],[0.01119516],[0.00656775]
93,48.523913860321045,0.07961228752339428,30.0175199508667,[0.01416794],[0.0114319],[0.00670675]
94,40.17602610588074,0.0777219022163237,21.05063819885254,[0.0143495],[0.01157361],[0.00684574]
95,35.94352602958679,0.07564258993123517,20.7472140789032,[0.01449998],[0.01163307],[0.00692109]
96,38.47425985336304,0.07376753265094577,28.482396125793457,[0.01474515],[0.012016],[0.00705171]
97,45.48164963722229,0.07250953590817223,20.675039529800415,[0.0149028],[0.01207888],[0.00714884]
98,35.6226921081543,0.07001849175477871,20.58362579345703,[0.01499261],[0.01215695],[0.00721415]
99,35.74737334251404,0.06892086904157292,20.746041536331177,[0.01514213],[0.01232672],[0.00734142]
100,38.33434796333313,0.066437061669098,20.773687601089478,[0.01539858],[0.01271309],[0.00748543]
101,35.43045735359192,0.06517925818986965,21.839884042739868,[0.01560811],[0.01280269],[0.00757586]
102,35.90100455284119,0.06459692054700972,20.465351819992065,[0.01576055],[0.01277015],[0.00766629]
103,35.95051574707031,0.0618456183189545,20.90117311477661,[0.01584838],[0.0131163],[0.00776174]
104,36.30521512031555,0.06095721571696828,20.48609495162964,[0.01613782],[0.01313685],[0.00788733]
105,35.709959506988525,0.05946963261624779,20.546571969985962,[0.01633274],[0.0133844],[0.00796436]
106,36.605260133743286,0.05882042231546207,20.350550413131714,[0.01656269],[0.01348213],[0.00807321]
107,36.03038668632507,0.056791926498966985,20.736153841018677,[0.01664025],[0.01377006],[0.00813015]
108,36.92988324165344,0.05563997130163691,21.007241249084473,[0.01682738],[0.01361217],[0.00819546]
109,35.75882315635681,0.0548281559645377,20.691086053848267,[0.01704552],[0.01391872],[0.00831268]
110,35.763447761535645,0.05298428979674072,20.639661073684692,[0.01714554],[0.01385576],[0.00837799]
111,36.19255447387695,0.052634564115468296,20.7286696434021,[0.01725775],[0.01398991],[0.00847679]
112,35.6748104095459,0.05147717402062633,20.83024525642395,[0.01734286],[0.01423516],[0.00852703]
113,40.60232424736023,0.05082412476115154,28.829391479492188,[0.01748078],[0.01427815],[0.00862583]
114,38.34682106971741,0.049235185420121806,20.688424825668335,[0.01767747],[0.01460908],[0.00869449]
115,35.87418556213379,0.04863133415052987,21.56090545654297,[0.01787785],[0.01468287],[0.00879329]
116,36.66069173812866,0.04749847224189176,20.508208513259888,[0.01818088],[0.01481669],[0.0089574]
117,35.463536977767944,0.04648329939392179,20.74660587310791,[0.01834474],[0.01512363],[0.00902773]
118,35.75554442405701,0.04562990084252875,20.993286609649658,[0.01845306],[0.01499547],[0.00910644]
119,35.42127752304077,0.04489680571067664,21.670493125915527,[0.01876076],[0.01524772],[0.00920021]
120,37.76083564758301,0.04464045352293084,22.386619091033936,[0.01892719],[0.01556737],[0.00929232]
121,42.09640145301819,0.043135388415645466,30.198439598083496,[0.01907147],[0.01568051],[0.00938107]
122,38.27618718147278,0.04316918540162721,20.41935706138611,[0.01921029],[0.01581144],[0.00943466]
123,35.411895990371704,0.04166772613546463,20.581061601638794,[0.01936274],[0.0158646],[0.00952341]
124,35.83297944068909,0.040692857118568036,22.29301428794861,[0.01956016],[0.01602562],[0.00958872]
125,38.383347034454346,0.040593307328909034,23.76293134689331,[0.01961345],[0.01588691],[0.00961719]
126,47.32035732269287,0.03963853967742938,30.00477170944214,[0.01968704],[0.01611593],[0.00969254]
127,50.57046961784363,0.03918995170600035,20.655370473861694,[0.01981907],[0.01630162],[0.00977627]
128,35.940136194229126,0.038751784966073254,20.46471381187439,[0.01999229],[0.01646236],[0.00987005]
129,36.33568477630615,0.03835336500872867,20.469770669937134,[0.02028511],[0.01665952],[0.00993871]
130,36.16946840286255,0.037573230048321714,20.58077883720398,[0.02045336],[0.01663395],[0.01003081]
131,36.19127821922302,0.0364814665300226,21.472713708877563,[0.02047534],[0.01686233],[0.01005426]
132,35.82905149459839,0.03526177618539694,21.095699071884155,[0.02063918],[0.01701063],[0.01013631]
133,35.858556509017944,0.03522765507564099,20.979202032089233,[0.02068851],[0.01674343],[0.01017818]
134,35.853957653045654,0.034659558131049074,20.62192153930664,[0.02095406],[0.01722413],[0.01030042]
135,35.998037576675415,0.03428160551596771,20.621746301651,[0.02106058],[0.01725725],[0.01033056]
136,36.024176836013794,0.03357385217466138,20.605119705200195,[0.02118525],[0.01755818],[0.0104076]
137,36.23349189758301,0.03345229340754826,20.642370223999023,[0.02132333],[0.01726263],[0.01045951]
138,35.81049108505249,0.03273217331128891,20.479867935180664,[0.02137707],[0.01738427],[0.01047793]
139,35.84643197059631,0.03243461329809794,20.853871822357178,[0.02158526],[0.01773245],[0.01056668]
140,35.50634479522705,0.03235785195585152,20.62367868423462,[0.02181304],[0.01785491],[0.01066381]
141,35.343042612075806,0.03167326343857279,20.713041305541992,[0.02183685],[0.01780484],[0.01070735]
142,35.997631549835205,0.030947329782212925,20.624424934387207,[0.02195775],[0.01791813],[0.01076261]
143,35.80085253715515,0.031160512200622548,20.68908429145813,[0.02206966],[0.01824826],[0.01081285]
144,36.02670669555664,0.030491953297057235,20.900190114974976,[0.02210215],[0.0180313],[0.01081285]
145,36.01754713058472,0.03027780225142987,20.803038597106934,[0.02252415],[0.01831956],[0.01100543]
146,41.70559740066528,0.0295086864175068,22.03801131248474,[0.02262069],[0.01839121],[0.01105399]
147,36.378902435302734,0.02959706424500304,20.52149772644043,[0.02277938],[0.01853034],[0.0111126]
148,36.07281303405762,0.028622625249842503,20.557390689849854,[0.02302574],[0.01867433],[0.01116116]
149,37.61176252365112,0.028945663285375844,20.44083571434021,[0.02312771],[0.01876526],[0.01122815]
150,35.88886833190918,0.027962521442936525,21.656113147735596,[0.02336052],[0.0187866],[0.01131355]
151,36.265336990356445,0.027377783457250005,21.14447832107544,[0.02341991],[0.01920508],[0.01134202]
152,36.473445415496826,0.02747828167195272,20.5644428730011,[0.02346663],[0.01920029],[0.01134704]
153,43.00525379180908,0.026979269168217374,26.810047388076782,[0.02366841],[0.01930971],[0.01146929]
154,42.6924831867218,0.02714568378187415,21.58184289932251,[0.02399157],[0.01941849],[0.01157479]
155,40.244508028030396,0.026526508328382565,24.192028760910034,[0.0241036],[0.0194599],[0.01157311]
156,42.560709714889526,0.026437950040674722,23.557818174362183,[0.02428581],[0.01949951],[0.01164512]
157,47.88026833534241,0.0266859159437996,35.06754279136658,[0.02433689],[0.01967777],[0.0117255]
158,45.08117485046387,0.025719845187709187,23.493927478790283,[0.02442379],[0.01984898],[0.01172718]
159,42.16968512535095,0.02554416102404245,23.71286177635193,[0.02456368],[0.01982208],[0.01178076]
160,41.83801889419556,0.025455479599497836,23.60127282142639,[0.02465128],[0.01995071],[0.0118444]
161,42.52075815200806,0.024957828033207494,23.58957290649414,[0.02488755],[0.02028142],[0.01192813]
162,42.176565170288086,0.02465948951665801,23.399534225463867,[0.02516765],[0.02037949],[0.01202023]
163,42.57097887992859,0.024159026045276963,23.770095825195312,[0.0252722],[0.02058537],[0.0120353]
164,43.54988694190979,0.02350444349723708,23.129998683929443,[0.02564322],[0.02077415],[0.01215755]
165,42.71933174133301,0.024334571112624624,23.280410051345825,[0.02568611],[0.02074032],[0.01218266]
166,42.450748920440674,0.024129544657589208,23.09894585609436,[0.02583746],[0.02077474],[0.01222118]
167,44.97609496116638,0.023205526398889946,23.660170316696167,[0.02595091],[0.0210238],[0.01229654]
168,42.94208383560181,0.02310665313747119,28.682291984558105,[0.02628846],[0.02130278],[0.01240371]
169,47.42647862434387,0.022399580689391706,21.79172658920288,[0.02638603],[0.02108918],[0.0124439]
170,55.49962615966797,0.02278018459169702,25.85215997695923,[0.02644145],[0.02139918],[0.01244892]
171,49.77064847946167,0.022689858801907513,26.236008405685425,[0.02659889],[0.02126737],[0.01250419]
172,52.94434118270874,0.022411854389697464,23.245585680007935,[0.02681589],[0.02125541],[0.01259294]
173,49.80242204666138,0.022638227400191203,23.087724208831787,[0.02685304],[0.02165383],[0.01259629]
174,41.80255365371704,0.02241123332924238,22.48418617248535,[0.02702014],[0.02178624],[0.01267165]
