Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0,0.0,[0.00147738],[0.00104419],[0.00057271]
1,40.88234329223633,"tensor(2.7709, grad_fn=<AddBackward0>)",19.893829822540283,[0.00103508],[0.0007321],[0.00038348]
2,38.73940134048462,"tensor(1.7340, grad_fn=<AddBackward0>)",19.679407835006714,[0.00085483],[0.00059324],[0.00031817]
3,39.957332611083984,"tensor(1.1902, grad_fn=<AddBackward0>)",19.33130145072937,[0.00097505],[0.00072863],[0.00038181]
4,40.558894872665405,"tensor(0.8424, grad_fn=<AddBackward0>)",20.58993411064148,[0.00157142],[0.00102434],[0.00052247]
5,45.97037053108215,"tensor(0.6958, grad_fn=<AddBackward0>)",19.745232343673706,[0.0023541],[0.00162124],[0.00079543]
6,38.98264193534851,"tensor(0.5450, grad_fn=<AddBackward0>)",19.66441249847412,[0.00366913],[0.00251072],[0.00128274]
7,39.08217930793762,"tensor(0.3955, grad_fn=<AddBackward0>)",19.732229948043823,[0.00533895],[0.0036586],[0.001971]
8,38.97476506233215,"tensor(0.2993, grad_fn=<AddBackward0>)",19.549718379974365,[0.00684638],[0.00489908],[0.00276475]
9,43.98137402534485,"tensor(0.2609, grad_fn=<AddBackward0>)",21.313004732131958,[0.0084632],[0.00631083],[0.00364224]
10,39.547205209732056,"tensor(0.1784, grad_fn=<AddBackward0>)",19.610599279403687,[0.00984017],[0.00734588],[0.00447451]
11,39.89796209335327,"tensor(0.1672, grad_fn=<AddBackward0>)",19.45496892929077,[0.01113774],[0.00861027],[0.0052666]
12,39.29007935523987,"tensor(0.1594, grad_fn=<AddBackward0>)",19.63437271118164,[0.01189631],[0.00911426],[0.00579912]
13,39.128345012664795,"tensor(0.1175, grad_fn=<AddBackward0>)",20.330440044403076,[0.01271752],[0.00984567],[0.00633331]
14,40.49668288230896,"tensor(0.1427, grad_fn=<AddBackward0>)",19.176716089248657,[0.01315069],[0.01041498],[0.00668163]
15,38.001957654953,"tensor(0.0883, grad_fn=<AddBackward0>)",19.189680814743042,[0.01368547],[0.01080766],[0.00693114]
16,43.057953119277954,"tensor(0.1044, grad_fn=<AddBackward0>)",20.71659564971924,[0.01405198],[0.0111133],[0.00710865]
17,42.70291566848755,"tensor(0.0859, grad_fn=<AddBackward0>)",20.666649103164673,[0.01422394],[0.01122877],[0.00716056]
18,39.973127603530884,"tensor(0.0841, grad_fn=<AddBackward0>)",21.919270277023315,[0.01480959],[0.01171203],[0.00734979]
19,38.50747871398926,"tensor(0.0868, grad_fn=<AddBackward0>)",20.405458688735962,[0.01470817],[0.01146756],[0.00721415]
20,37.937358140945435,"tensor(0.0727, grad_fn=<AddBackward0>)",19.204638957977295,[0.01468645],[0.01153956],[0.00704501]
21,38.04824614524841,"tensor(0.0825, grad_fn=<AddBackward0>)",19.113914489746094,[0.01486537],[0.01140958],[0.00708018]
22,38.23820376396179,"tensor(0.0499, grad_fn=<AddBackward0>)",19.378174304962158,[0.01491458],[0.01149908],[0.00696966]
23,38.127617835998535,"tensor(0.0735, grad_fn=<AddBackward0>)",19.183727025985718,[0.01471558],[0.01107791],[0.00684406]
24,39.13832926750183,"tensor(0.0603, grad_fn=<AddBackward0>)",19.502405881881714,[0.01440239],[0.01094321],[0.00669502]
25,39.11140275001526,"tensor(0.0663, grad_fn=<AddBackward0>)",19.261488914489746,[0.01401683],[0.0106912],[0.00653426]
26,38.76023507118225,"tensor(0.0314, grad_fn=<AddBackward0>)",19.11487913131714,[0.01412011],[0.01068561],[0.00653091]
27,38.1196768283844,"tensor(0.0489, grad_fn=<AddBackward0>)",19.109004497528076,[0.01388726],[0.01042568],[0.00633833]
28,38.01632738113403,"tensor(0.0580, grad_fn=<AddBackward0>)",19.30341410636902,[0.01405588],[0.01052971],[0.00631322]
29,39.05885171890259,"tensor(0.0550, grad_fn=<AddBackward0>)",19.19765615463257,[0.01401929],[0.01042616],[0.0062613]
30,38.05783653259277,"tensor(0.0648, grad_fn=<AddBackward0>)",19.341274738311768,[0.01380998],[0.01022211],[0.00612901]
31,38.305559158325195,"tensor(0.0570, grad_fn=<AddBackward0>)",19.262491941452026,[0.01368442],[0.01020343],[0.00598834]
32,38.27564287185669,"tensor(0.0409, grad_fn=<AddBackward0>)",19.228744745254517,[0.01367271],[0.01014722],[0.00597327]
33,38.211753368377686,"tensor(0.0598, grad_fn=<AddBackward0>)",19.197659492492676,[0.01339171],[0.00992233],[0.00577232]
34,38.24624562263489,"tensor(0.0467, grad_fn=<AddBackward0>)",19.246524572372437,[0.01356187],[0.0098036],[0.00575055]
35,38.00873422622681,"tensor(0.0454, grad_fn=<AddBackward0>)",19.85109543800354,[0.0135701],[0.01005393],[0.00573046]
36,40.99189376831055,"tensor(0.0508, grad_fn=<AddBackward0>)",19.14999556541443,[0.01344744],[0.00974789],[0.00568859]
37,37.24040651321411,"tensor(0.0406, grad_fn=<AddBackward0>)",18.886492013931274,[0.01351826],[0.009927],[0.00559816]
38,37.084068775177,"tensor(0.0390, grad_fn=<AddBackward0>)",18.88750672340393,[0.0135737],[0.00977198],[0.0054709]
39,36.90084505081177,"tensor(0.0394, grad_fn=<AddBackward0>)",19.272460222244263,[0.01371548],[0.00999321],[0.00557807]
40,36.809685707092285,"tensor(0.0492, grad_fn=<AddBackward0>)",19.793067455291748,[0.01352783],[0.0097624],[0.00551109]
41,37.4441077709198,"tensor(0.0563, grad_fn=<AddBackward0>)",19.4320650100708,[0.01381216],[0.00982115],[0.00549434]
42,37.244394063949585,"tensor(0.0655, grad_fn=<AddBackward0>)",19.16179370880127,[0.01419828],[0.00988317],[0.00553955]
43,37.150606870651245,"tensor(0.0422, grad_fn=<AddBackward0>)",19.156395435333252,[0.01419514],[0.01002619],[0.00553453]
44,37.33315968513489,"tensor(0.0264, grad_fn=<AddBackward0>)",19.4858877658844,[0.01408216],[0.00996916],[0.00550439]
45,38.06131148338318,"tensor(0.0431, grad_fn=<AddBackward0>)",19.483653783798218,[0.01442934],[0.01008237],[0.00554458]
