Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00034461],[0.0002358],[0.00014904]
1,25.528886556625366,0.526515525323574,7.561235427856445,[0.06511883],[0.04670073],[0.02158216]
2,25.40872550010681,0.18632124672935466,7.545063495635986,[0.08105758],[0.06176892],[0.02578036]
3,25.54192543029785,0.12229164949420726,7.601461887359619,[0.0887083],[0.07061106],[0.02787695]
4,25.66783094406128,0.10057547603818504,7.4914350509643555,[0.0952973],[0.07763802],[0.02979603]
5,25.40917420387268,0.08860175185507596,7.607105731964111,[0.10016735],[0.0826827],[0.03121776]
6,25.590153455734253,0.08039799402232724,7.524383068084717,[0.10530689],[0.08786639],[0.03269978]
7,25.4432430267334,0.07390720527995416,7.534312725067139,[0.11009321],[0.09202989],[0.03413491]
8,25.563804864883423,0.06984593024044627,7.638691663742065,[0.11361321],[0.09509455],[0.03521669]
9,33.15632081031799,0.06545509195726629,7.611833095550537,[0.1172754],[0.09777431],[0.03624992]
10,25.57107424736023,0.062056999352544245,7.675315618515015,[0.11962153],[0.09977644],[0.03697502]
11,25.638673067092896,0.05912697606842325,7.549901008605957,[0.12168011],[0.10124936],[0.03758624]
12,25.64487314224243,0.05618946182757917,7.7179388999938965,[0.12368135],[0.10306921],[0.03816565]
13,25.711539268493652,0.053800538219887804,7.699974298477173,[0.12533819],[0.10419487],[0.0385642]
14,25.79385781288147,0.052767290122280215,7.565836191177368,[0.12636738],[0.10494371],[0.03898118]
15,25.6599862575531,0.05093979574928079,7.643095970153809,[0.12827383],[0.10648117],[0.03946513]
16,25.625843048095703,0.049150746917784816,7.695733070373535,[0.12895795],[0.10729714],[0.03958236]
17,25.625946283340454,0.0477627751163461,7.733070611953735,[0.13082364],[0.10843616],[0.0402187]
18,25.688034296035767,0.046066804008200915,7.691557168960571,[0.13224868],[0.10981103],[0.04052013]
19,25.6317195892334,0.04517975771291689,7.528769016265869,[0.13312583],[0.11078246],[0.04070601]
20,25.515207529067993,0.043585828232644785,7.657837629318237,[0.13379599],[0.11158875],[0.04089859]
21,25.666433811187744,0.0431091719956109,7.735061883926392,[0.13386103],[0.11163842],[0.04103255]
22,25.60072684288025,0.04227549853650006,7.731099843978882,[0.13535848],[0.11271911],[0.04146292]
23,25.745580196380615,0.04135584496337958,7.569005966186523,[0.13508911],[0.11280808],[0.04143446]
24,25.49450922012329,0.040221681051671204,7.54433536529541,[0.13726911],[0.11442062],[0.04206913]
25,25.53023862838745,0.03963282046312786,7.635084629058838,[0.13825844],[0.11524347],[0.04229017]
26,25.73019528388977,0.038994704076850954,7.653189182281494,[0.13921599],[0.11583812],[0.04251289]
27,25.718923568725586,0.038162116342308844,7.5415003299713135,[0.13889684],[0.11565464],[0.04245763]
28,25.587653160095215,0.03772220944026203,7.796702146530151,[0.13971784],[0.1163755],[0.04274064]
29,25.715656518936157,0.037308935391142814,7.773443937301636,[0.1398713],[0.11663266],[0.04284446]
30,25.756319522857666,0.03625670957350821,7.900701999664307,[0.14146001],[0.11785506],[0.04331502]
31,25.558349132537842,0.03554685431240936,7.92363715171814,[0.14137141],[0.11796851],[0.04321622]
32,25.73803687095642,0.035490884426793066,7.8452136516571045,[0.14250442],[0.11891495],[0.04352435]
33,25.476155519485474,0.03521141216553973,7.834465265274048,[0.1422517],[0.11870536],[0.04349756]
34,25.6807279586792,0.03431074376302687,7.8051557540893555,[0.14358369],[0.11945118],[0.04389778]
35,25.53304100036621,0.033772985135778935,7.900196313858032,[0.14421085],[0.12036038],[0.04395304]
36,25.653382539749146,0.03361253435676447,7.933205604553223,[0.14504121],[0.12065188],[0.04417744]
37,25.64603900909424,0.03281528639108545,7.901788234710693,[0.14575568],[0.12062291],[0.04440016]
38,25.59398365020752,0.03233182713427026,7.806111812591553,[0.1457385],[0.12125673],[0.04429299]
39,25.600451231002808,0.032187389035831494,7.771592617034912,[0.14502962],[0.12088403],[0.04420758]
40,25.427961349487305,0.031736842314289374,7.849764823913574,[0.14583239],[0.12112365],[0.04447552]
41,25.671982049942017,0.031141859229955108,7.842758893966675,[0.14617266],[0.12134627],[0.04465135]
42,25.53803324699402,0.030989179481761626,7.753527879714966,[0.14618553],[0.12117344],[0.04487407]
