Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00048911],[0.00029632],[0.00017416]
1,1009.1771049499512,0.41818040345955376,24.001214265823364,[0.06627067],[0.05362509],[0.0212958]
2,1008.6364800930023,0.17864543794080465,24.11558699607849,[0.08212526],[0.06831124],[0.02625762]
3,1010.3099846839905,0.12220812244622996,24.08102560043335,[0.09059402],[0.07695287],[0.02860205]
4,1008.959718465805,0.09502067881626915,24.16083288192749,[0.09585884],[0.08006881],[0.03012091]
5,1009.0612552165985,0.07992331704331769,24.099786520004272,[0.09780118],[0.08267301],[0.03077232]
6,1010.190057516098,0.07001819444650953,24.140419960021973,[0.10132935],[0.08498364],[0.03165148]
7,1008.9848718643188,0.06295589443220935,24.08185625076294,[0.10295166],[0.08650855],[0.03215721]
8,1009.3098061084747,0.058538938797257765,24.120961904525757,[0.10329161],[0.08747274],[0.03236486]
9,1009.5063951015472,0.054163150150667534,24.15129017829895,[0.10536785],[0.08900716],[0.03291078]
10,1009.3602945804596,0.05067157989010365,24.155187845230103,[0.10674005],[0.09065777],[0.03334115]
11,1009.3286325931549,0.04799239708091876,24.09926414489746,[0.10833237],[0.09237455],[0.03394903]
12,1009.2000274658203,0.04535743713642311,24.09697413444519,[0.10904221],[0.09291949],[0.03405118]
13,1009.145542383194,0.04253917090557139,24.099077939987183,[0.11017065],[0.09419684],[0.03444136]
14,1008.9619791507721,0.04129066264651941,24.1329243183136,[0.11166897],[0.09522692],[0.03473273]
15,1008.8379564285278,0.03952732476208246,24.120631456375122,[0.11156342],[0.09557801],[0.03471599]
16,1008.6467583179474,0.03773182117370794,24.064870834350586,[0.11224116],[0.09598195],[0.03478967]
17,1008.6842353343964,0.03578264980736857,24.088104248046875,[0.11377951],[0.09730231],[0.0352887]
18,1008.2827332019806,0.03448621306399053,24.070791244506836,[0.11521049],[0.09790672],[0.03551812]
19,1008.3839182853699,0.03329976901618971,24.16347336769104,[0.1162652],[0.09824859],[0.03584132]
20,1008.2693793773651,0.03171348844589007,24.226552486419678,[0.11564152],[0.09770743],[0.03567051]
21,1008.1489741802216,0.03107178213563983,24.075626611709595,[0.11559724],[0.09708163],[0.0356839]
22,1008.2516937255859,0.03028416002846577,24.069602727890015,[0.11616036],[0.09779296],[0.03593509]
23,1007.945529460907,0.029236025228682492,24.074528217315674,[0.11662801],[0.09849346],[0.03611093]
24,1008.0197894573212,0.028068074918907098,24.12845253944397,[0.11810728],[0.10003903],[0.03660493]
25,1007.7334589958191,0.02726038277262088,24.08698344230652,[0.11894552],[0.10067496],[0.03687286]
26,1007.7490050792694,0.02659944360699467,24.085483074188232,[0.11897328],[0.10050809],[0.0368109]
27,1007.4372782707214,0.02572264906602225,24.081461429595947,[0.1184504],[0.10012623],[0.03664847]
28,1007.5063855648041,0.025128628527087093,24.158915996551514,[0.11842337],[0.10021853],[0.03662837]
29,1007.7004990577698,0.024615685634239756,24.11075520515442,[0.118961],[0.10009536],[0.0366267]
30,1007.6488928794861,0.02370674662395484,24.15900683403015,[0.11868618],[0.10018149],[0.03677239]
31,1007.7415862083435,0.023023596717834924,24.073699474334717,[0.11859006],[0.09984678],[0.03663842]
32,1007.430558681488,0.022852592732324595,24.059178590774536,[0.11921825],[0.09967045],[0.0368109]
33,1007.4053733348846,0.02247600409559755,24.093148469924927,[0.11970176],[0.10030044],[0.03696832]
34,1007.3489835262299,0.021222870559384575,24.142204761505127,[0.1203109],[0.10127619],[0.03711066]
35,1006.8939116001129,0.021112562387692508,24.086814880371094,[0.12064065],[0.10189007],[0.03722788]
36,1006.8032665252686,0.020545743203562016,24.098790168762207,[0.12115718],[0.10185398],[0.03742883]
37,1006.7398056983948,0.01999421179473325,24.055354356765747,[0.1221185],[0.10246959],[0.03767165]
38,1006.7980396747589,0.019492924309834236,24.083404779434204,[0.12135574],[0.10072183],[0.03744558]
39,1006.8516798019409,0.019319314105116357,24.29929280281067,[0.12220216],[0.10164823],[0.03756782]
40,1006.9425976276398,0.01878661097196693,24.3195378780365,[0.12257361],[0.10142099],[0.03772858]
41,1007.1654665470123,0.018280516317434083,24.246503591537476,[0.12255846],[0.10130665],[0.03776375]
42,1007.07595038414,0.018000852090842796,24.194358825683594,[0.12278531],[0.10097963],[0.0378793]
43,1006.9787430763245,0.01748976289445177,24.26095461845398,[0.12301093],[0.1011108],[0.03814388]
44,1007.1590402126312,0.017176098744102725,24.23014211654663,[0.12315222],[0.10103614],[0.03817402]
45,1007.460042476654,0.01674360333885433,24.221492528915405,[0.12344563],[0.10074608],[0.03804341]
46,1007.7569687366486,0.016592581551804236,24.208868503570557,[0.12311688],[0.10058954],[0.03793623]
47,1007.9855310916901,0.0162551964214542,24.212271690368652,[0.12336585],[0.10149476],[0.03795633]
48,1007.9402024745941,0.01609733274836808,24.248202562332153,[0.12428153],[0.10264638],[0.03819579]
49,1006.831383228302,0.01573283328307849,24.13963031768799,[0.12480852],[0.10269904],[0.03839842]
50,1006.9502449035645,0.015384968577159775,24.26107406616211,[0.12376948],[0.10135044],[0.0380635]
51,1007.7751712799072,0.014876415066402218,24.15178346633911,[0.12357642],[0.10120032],[0.03803838]
52,1007.1201264858246,0.014593233323815947,24.137582063674927,[0.12450788],[0.10216764],[0.03827115]
53,1008.105612039566,0.014451149465384507,24.22273898124695,[0.12503334],[0.10246886],[0.03833646]
54,1007.8565948009491,0.014483588691236395,24.127737283706665,[0.12586503],[0.10311679],[0.03860272]
55,1007.6108002662659,0.014305579747694233,24.228171825408936,[0.12612397],[0.10273455],[0.0386965]
56,1008.1047267913818,0.013899172162354895,24.215921640396118,[0.12630623],[0.10254435],[0.03856253]
57,1008.1043386459351,0.013925114658313116,24.203977823257446,[0.12574952],[0.10269753],[0.03844028]
58,1007.8498916625977,0.013107230955019894,24.242703199386597,[0.12699626],[0.10311665],[0.03877353]
