Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00037075],[0.00026796],[0.00016411]
1,35.25077533721924,0.5387498766484887,10.428943157196045,[0.0552512],[0.03934883],[0.01849253]
2,43.54669976234436,0.19794002927915014,22.98373508453369,[0.07748272],[0.06054381],[0.02495311]
3,42.89012145996094,0.12765968009603745,23.230329513549805,[0.08755456],[0.07105976],[0.02775136]
4,39.33646202087402,0.10374698887644994,23.402811765670776,[0.09367302],[0.07726055],[0.0296135]
5,43.111393213272095,0.09074202902389295,25.19401526451111,[0.09896349],[0.0819622],[0.03112231]
6,43.22124361991882,0.0820285315164412,23.18048596382141,[0.10396998],[0.08702326],[0.03258423]
7,40.4002628326416,0.07524831249670248,24.071390867233276,[0.1091764],[0.09125294],[0.03411816]
8,43.22981858253479,0.07099556814728662,23.980219841003418,[0.11274581],[0.09445091],[0.03514636]
9,42.96788835525513,0.06654013903115434,15.595990657806396,[0.11595216],[0.097029],[0.03610758]
10,34.605746030807495,0.06297753166143942,8.796154499053955,[0.11878569],[0.09942786],[0.03690133]
11,39.25708270072937,0.05997466002449845,19.396316051483154,[0.12076332],[0.10110317],[0.03745562]
12,45.77957320213318,0.05711461928193316,25.109164714813232,[0.12310519],[0.10313361],[0.03810871]
13,44.04967188835144,0.054610471109473945,24.04929780960083,[0.12429207],[0.10433865],[0.03833813]
14,42.61726951599121,0.053455855763244506,22.892475128173828,[0.12557501],[0.10550994],[0.03886731]
15,41.38130569458008,0.05154167956700831,24.642521142959595,[0.12766293],[0.1070259],[0.03936298]
16,41.462748765945435,0.04978983178546633,24.188112020492554,[0.12795971],[0.10750824],[0.03933954]
17,42.60556364059448,0.04833492229344568,24.500070095062256,[0.12942763],[0.10855591],[0.03982015]
18,44.21866703033447,0.046763765747950534,14.795654296875,[0.13016617],[0.10969738],[0.04009311]
19,35.41632533073425,0.045779040770021956,8.939775943756104,[0.13104914],[0.11053679],[0.04035099]
20,43.154770374298096,0.04436726844634371,24.239960193634033,[0.13211184],[0.11106586],[0.04064572]
21,43.46651887893677,0.04371479216662019,22.433798789978027,[0.13242565],[0.11121871],[0.04071103]
22,42.345500469207764,0.042861789272100936,23.54235577583313,[0.13366692],[0.11208047],[0.04113638]
23,42.65481972694397,0.04195942474773737,24.275065422058105,[0.1336845],[0.11275558],[0.04118829]
24,41.78948736190796,0.04080191336459282,23.652058124542236,[0.13516953],[0.11417393],[0.04163038]
25,40.627447843551636,0.040243111673102835,25.156239986419678,[0.13569346],[0.11473402],[0.0417744]
26,43.235506772994995,0.03965916635111125,23.70105528831482,[0.13694773],[0.11527192],[0.04211602]
27,43.19315767288208,0.038793599153069236,15.460525274276733,[0.13704523],[0.1152099],[0.04211267]
28,36.18985939025879,0.03828633521598848,10.107294797897339,[0.1383305],[0.11620842],[0.04254136]
29,44.83130383491516,0.0379094356868529,22.48456645011902,[0.1389194],[0.1166018],[0.0426117]
30,47.511770725250244,0.03682348999016062,23.548147439956665,[0.13970133],[0.11761359],[0.04301192]
31,44.445948362350464,0.036076736965715284,25.136167526245117,[0.13960927],[0.11766264],[0.04288633]
32,42.048362255096436,0.036052086625737376,22.82109260559082,[0.13994793],[0.11815979],[0.04298178]
33,45.92180919647217,0.03568221554818629,25.528156042099,[0.14065007],[0.11850117],[0.04322962]
34,42.45309066772461,0.03481474957626426,24.003647089004517,[0.14091849],[0.11884172],[0.04334349]
35,41.40490436553955,0.034368394709408584,25.256515741348267,[0.14116639],[0.11939332],[0.04345569]
36,42.83782124519348,0.03406476910047308,10.211275577545166,[0.1420084],[0.11969156],[0.04362817]
37,35.02658677101135,0.03332818217688438,14.98926067352295,[0.1426276],[0.1200755],[0.0438107]
38,44.57897472381592,0.032805312227344875,19.815600633621216,[0.1433144],[0.1205265],[0.04393295]
39,41.18496251106262,0.03268782463809005,25.584661960601807,[0.14311014],[0.12024051],[0.04387434]
40,43.34125256538391,0.032192347985174924,24.77695655822754,[0.14334793],[0.12048255],[0.04400998]
41,41.429402112960815,0.031720113813538446,24.471027135849,[0.14354314],[0.12053121],[0.04413223]
42,43.13071250915527,0.0314775511970499,24.204303979873657,[0.1437248],[0.12037854],[0.04430471]
43,44.69697451591492,0.031009203890771275,25.339643001556396,[0.14416762],[0.12078096],[0.04445542]
44,41.28656721115112,0.03087427909721178,21.614651918411255,[0.14407892],[0.12038817],[0.04430806]
45,41.0520966053009,0.030267271406083096,9.705650091171265,[0.14435966],[0.12072778],[0.04442193]
46,34.90381860733032,0.03017124884545502,14.569581270217896,[0.14497966],[0.1209674],[0.04453245]
47,45.95681571960449,0.02996535874865573,23.915457010269165,[0.14516419],[0.12118435],[0.04451906]
48,44.84345626831055,0.02981839830883675,23.604230880737305,[0.14546882],[0.12183464],[0.04461953]
49,44.33811926841736,0.029506795588090565,24.806710481643677,[0.14628673],[0.12216218],[0.04490589]
50,40.394315004348755,0.029103215054768806,24.40595817565918,[0.14677685],[0.12220799],[0.04490756]
51,41.63975524902344,0.02873256016108725,25.244786500930786,[0.14733848],[0.12254548],[0.04508674]
52,41.06938290596008,0.02826170197622192,24.58906078338623,[0.1467701],[0.12240566],[0.04510182]
53,41.05692172050476,0.028130211401730776,22.104161024093628,[0.14789558],[0.12316632],[0.04531281]
54,42.234702587127686,0.028236227015955278,9.061932802200317,[0.14753348],[0.12290081],[0.04525923]
55,35.379486083984375,0.028010108338838272,18.643996000289917,[0.14768338],[0.12308655],[0.04526927]
56,50.83416938781738,0.027656438548795202,20.835815906524658,[0.1480748],[0.12335019],[0.04536975]
57,42.80113387107849,0.02759739284808136,23.009114503860474,[0.14839938],[0.12335246],[0.04541329]
58,45.38826107978821,0.02679972370823074,24.456437826156616,[0.14886234],[0.12415391],[0.04554726]
59,40.23283863067627,0.027045528724262812,25.418424367904663,[0.14891731],[0.1240074],[0.04557238]
60,43.602623462677,0.026426782539923383,23.25269651412964,[0.14919083],[0.12435463],[0.04555396]
