Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00135409],[0.00108666],[0.00051577]
1,4096.1727159023285,62738.68965256816,66.97269916534424,[0.00529437],[0.00353867],[0.00178177]
2,4333.120574951172,1448.9679198602232,75.37192368507385,[0.00279437],[0.00174369],[0.00097126]
3,4417.691940307617,991.2777608235677,63.34606218338013,[0.0033109],[0.0021504],[0.00107509]
4,1830.0376806259155,499667.0879294656,32.64368939399719,[0.00306409],[0.00170843],[0.00084902]
5,1516.3534173965454,226289.95726799243,35.01926589012146,[0.00258951],[0.0015369],[0.00085907]
6,1532.4669871330261,15315.311629478378,34.5521023273468,[0.00551832],[0.00354902],[0.00186382]
7,1529.411987066269,6723.104658955275,34.4977171421051,[0.00212713],[0.00141837],[0.00071505]
8,1527.1468350887299,2858.6931731869477,34.34784960746765,[0.00240729],[0.00159013],[0.00081553]
9,1527.2310750484467,1770.5051312687422,34.52860713005066,[0.00524954],[0.0037569],[0.00214515]
10,1526.0139708518982,1553.412219885624,35.55715894699097,[0.00359522],[0.00222929],[0.00114375]
11,1652.0062894821167,1012.5480402166194,36.10723304748535,[0.0046786],[0.00315269],[0.00168297]
12,1652.8570141792297,779.5150544908312,36.47537803649902,[0.00534207],[0.00348842],[0.00182028]
13,1652.1617276668549,728.3943324233546,36.33378720283508,[0.00760756],[0.00509117],[0.00261404]
14,1651.013576745987,563561.1977926698,36.49254512786865,[0.00101916],[0.00069696],[0.00033157]
15,1575.977709531784,114487.44124348958,32.93700909614563,[0.00328448],[0.00212947],[0.00103992]
16,2302.454655647278,9127.268442481456,45.95806622505188,[0.00802556],[0.00523631],[0.00279825]
17,2433.072965145111,5005.820282907197,45.91002154350281,[0.00347612],[0.00225086],[0.00109853]
18,2431.625863313675,2920.092894274779,45.87368965148926,[0.00389773],[0.00266712],[0.00144517]
19,2312.1340131759644,2295.7987102161756,37.24815797805786,[0.00750633],[0.00497535],[0.00256213]
20,1746.6914961338043,1593.7645274460917,37.34352993965149,[0.00566179],[0.00383309],[0.00201119]
21,1743.8156340122223,1354.1062170471807,37.048152685165405,[0.0034273],[0.00230149],[0.00110021]
22,1743.6846594810486,107485.36281547161,37.60648965835571,[0.00100206],[0.00065252],[0.00032989]
23,1744.8515152931213,658980.3769333964,36.766806840896606,[0.0056844],[0.00356854],[0.00190736]
24,1744.3119626045227,21088.65501943261,37.11611199378967,[0.00690973],[0.00404391],[0.00227912]
25,1742.7349424362183,10646.214994796599,38.06785559654236,[0.00271845],[0.00155596],[0.00084399]
26,2423.1828434467316,6800.2142260002365,44.55276083946228,[0.00435692],[0.00302576],[0.00171478]
27,1941.127052307129,5023.4742209694605,35.094982624053955,[0.00400155],[0.00246816],[0.00130283]
28,1558.4470236301422,4184.227584068221,35.44270038604736,[0.00467728],[0.00319293],[0.00169301]
29,1555.691320180893,3546.200887044271,35.08745813369751,[0.00527867],[0.00344056],[0.00171478]
30,1489.7464272975922,3261.6518699568933,33.96756863594055,[0.00565624],[0.00376631],[0.00193583]
31,1532.475664615631,666455.1840413412,34.43711280822754,[0.00324689],[0.00191705],[0.0009294]
32,1521.5922300815582,79223.78217230903,34.47093725204468,[0.00324315],[0.00235934],[0.00115379]
33,1525.7604846954346,25250.6109742444,34.37006163597107,[0.0054312],[0.0034495],[0.00183535]
34,1525.2656228542328,9574.467309200403,34.15127182006836,[0.00419518],[0.00288473],[0.00153895]
35,1525.3024554252625,6965.885983862058,34.46007490158081,[0.00334754],[0.00236248],[0.00140163]
36,1526.2053489685059,5549.464682839133,34.235429525375366,[0.00878759],[0.00544085],[0.00280159]
37,1531.4176726341248,4459.108682959971,34.68570256233215,[0.00541391],[0.00355241],[0.0018521]
38,1556.7572424411774,3377.468784524937,34.85425591468811,[0.00362959],[0.00224752],[0.00111026]
