Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.07432935],[0.06217633],[0.02574184]
1,191.14997696876526,0.05516040358325523,25.669750452041626,[0.11207222],[0.08823767],[0.0338519]
2,188.18121886253357,0.04495891694901417,25.41251254081726,[0.11805698],[0.09212285],[0.03505593]
3,191.9290750026703,0.04212582926501078,23.37214946746826,[0.12081193],[0.09344045],[0.03544946]
4,188.87080836296082,0.04010340752964369,10.991254568099976,[0.12337597],[0.09581209],[0.0362968]
5,184.450918674469,0.03851517764710342,24.756903886795044,[0.12591022],[0.09723736],[0.03677741]
6,189.24387288093567,0.03715016351156689,25.73178791999817,[0.12742686],[0.09834445],[0.03719606]
7,199.73313450813293,0.036457479357568906,22.841774463653564,[0.12894689],[0.09933806],[0.03773863]
8,198.14893317222595,0.03588591923353949,27.54589533805847,[0.12991794],[0.10033988],[0.03799484]
9,387.38207960128784,0.035273562293650224,28.477461099624634,[0.13120974],[0.10168379],[0.03846875]
10,340.97461462020874,0.03413297241610108,25.796398401260376,[0.13231792],[0.1024735],[0.03870654]
11,387.85377860069275,0.03346120441130203,26.93225646018982,[0.13342657],[0.10328752],[0.03905486]
12,347.8834855556488,0.03240135889453343,27.161728382110596,[0.13472516],[0.1039196],[0.03925581]
13,388.3111252784729,0.031745889255861665,13.846879959106445,[0.13555475],[0.10456232],[0.03944337]
14,340.88351035118103,0.032005753010661914,27.846778631210327,[0.13632956],[0.10580188],[0.03984192]
15,387.6136226654053,0.031476933178680035,28.246965646743774,[0.13737158],[0.10632274],[0.04019023]
16,342.9417519569397,0.030624366410057804,27.156702280044556,[0.13731665],[0.10601041],[0.03992732]
17,391.14231419563293,0.0301499235093349,28.659224271774292,[0.13801431],[0.10690214],[0.04022038]
18,342.15170907974243,0.029976511245941497,27.46816635131836,[0.13861607],[0.10686907],[0.04018688]
19,385.9059331417084,0.02975569843465105,23.64168405532837,[0.13890575],[0.10689054],[0.04030746]
20,341.6835026741028,0.028935120610350914,23.920185565948486,[0.13961759],[0.10838026],[0.04080146]
21,383.38821244239807,0.029089267280968754,29.969211101531982,[0.13993403],[0.10872443],[0.04085337]
22,343.53315258026123,0.028899356571139033,27.672449350357056,[0.14005432],[0.10857978],[0.0407596]
23,230.3748323917389,0.028132297614862144,27.00710964202881,[0.14060108],[0.10843994],[0.04077299]
24,187.28173661231995,0.027684073851707233,28.894123077392578,[0.1412202],[0.1095047],[0.04119499]
25,190.47669315338135,0.02772957579975929,27.335726499557495,[0.14189663],[0.10971091],[0.041267]
26,191.39310026168823,0.027287711369372303,24.369571208953857,[0.14216033],[0.1103235],[0.0414512]
27,188.46663355827332,0.026717027738652747,24.683341026306152,[0.14239299],[0.11065531],[0.04154498]
28,188.07816910743713,0.026828352799356886,24.795593976974487,[0.14250639],[0.11072501],[0.04157345]
29,190.40387654304504,0.026803812120260312,12.936995029449463,[0.14286594],[0.11163168],[0.04177942]
30,183.49679493904114,0.02641994744713296,22.738301753997803,[0.14353503],[0.11195947],[0.04193349]
31,188.96601343154907,0.026138430690590405,24.331221342086792,[0.14380609],[0.11272638],[0.04213611]
32,186.81351017951965,0.025463737771408916,9.89283037185669,[0.14375363],[0.11207649],[0.04201387]
33,183.3813238143921,0.025598966977511992,25.290599822998047,[0.14422414],[0.11245708],[0.04207917]
34,191.8560447692871,0.025306779794827705,26.25908613204956,[0.14464435],[0.11249325],[0.04211434]
35,188.6859781742096,0.02491904756835088,18.89827847480774,[0.14502109],[0.11312787],[0.04220142]
36,238.9631097316742,0.02540672439352769,27.129044771194458,[0.14523301],[0.11360329],[0.04242414]
37,244.49373126029968,0.024424944276394644,13.107071161270142,[0.14601944],[0.11435244],[0.0426837]
38,213.3603012561798,0.024257886197624937,24.773983240127563,[0.14546582],[0.11363502],[0.04229855]
39,245.22148203849792,0.02428137816281782,29.71586775779724,[0.14631046],[0.11456106],[0.04279925]
40,224.33471369743347,0.024237684833210413,30.719759464263916,[0.14647046],[0.11438544],[0.04272054]
41,246.06173276901245,0.02394205620018483,22.161991596221924,[0.14689323],[0.11478307],[0.04290977]
42,229.4390778541565,0.023488431405793462,10.825926780700684,[0.14706054],[0.11507837],[0.04306886]
43,230.03945589065552,0.023396567198697177,24.725873947143555,[0.1473526],[0.1154317],[0.04325306]
44,240.8226613998413,0.023240690364154302,25.519562244415283,[0.14734923],[0.11501927],[0.04297843]
45,213.37077450752258,0.022788567631975794,25.132708072662354,[0.14743711],[0.11570938],[0.04319445]
46,247.77351021766663,0.022637301251630892,27.763434410095215,[0.14776457],[0.11545061],[0.04311742]
47,229.3396646976471,0.022526028707171932,26.577795028686523,[0.14815116],[0.11598676],[0.04336359]
48,244.73581671714783,0.02287420077070669,26.52655601501465,[0.14845248],[0.11709439],[0.04373367]
49,235.7216899394989,0.02284501913600987,13.077426671981812,[0.14851965],[0.11658148],[0.04341383]
50,219.76909565925598,0.02264378872356669,25.603513479232788,[0.14837899],[0.11676078],[0.0435277]
51,237.99345135688782,0.022056275601216563,28.034226417541504,[0.14881332],[0.11695994],[0.0436131]
52,192.83552837371826,0.021790855428947115,10.969595432281494,[0.149091],[0.11709176],[0.04376382]
53,184.9341537952423,0.021380816367595937,12.453775405883789,[0.1487377],[0.11651311],[0.04348416]
54,187.93311524391174,0.021601019881082453,11.843333005905151,[0.14838162],[0.11630345],[0.0433033]
55,184.537127494812,0.021577680202417376,9.093705654144287,[0.14921111],[0.1175064],[0.0437052]
56,182.74220442771912,0.02118861417620057,12.226276874542236,[0.14936429],[0.11772072],[0.04382243]
57,185.19578671455383,0.02165401084501428,11.038292646408081,[0.14972371],[0.1180768],[0.04397314]
58,185.47760009765625,0.02100288687447895,11.129506587982178,[0.14957306],[0.11755917],[0.04373702]
59,185.06408548355103,0.0216142756401707,11.151928901672363,[0.14987225],[0.11771668],[0.04390113]
60,185.5899817943573,0.020271792188239744,11.489902019500732,[0.15002617],[0.11783837],[0.04387769]
61,185.41902208328247,0.0206191840057139,10.995590686798096,[0.15018834],[0.1181725],[0.04407194]
62,188.32047319412231,0.020546312759056537,11.752318143844604,[0.15047852],[0.11833879],[0.04417242]
63,186.7452917098999,0.02064124201342106,9.738776445388794,[0.15043221],[0.11806381],[0.04401333]
64,181.24768328666687,0.020021089499656374,10.831459283828735,[0.15049278],[0.11860364],[0.04429801]
65,186.0163176059723,0.02047163106305901,11.073791265487671,[0.15086825],[0.11876713],[0.04439179]
66,183.58796858787537,0.020005855428271296,11.033893346786499,[0.15099206],[0.11909242],[0.04443365]
67,183.66089034080505,0.02019931718112073,11.083804607391357,[0.15108394],[0.11934526],[0.04440016]
68,184.31665134429932,0.019820594613327448,11.149487495422363,[0.15072966],[0.11875085],[0.04416069]
