Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00052046],[0.00039326],[0.00016913]
1,69.76855731010437,0.3748180570852275,8.095826625823975,[0.10757199],[0.09080553],[0.0335354]
2,64.4617931842804,0.1010784992966989,8.392597436904907,[0.11910666],[0.10087694],[0.03672718]
3,85.35802960395813,0.06588201021606271,9.201346635818481,[0.12594581],[0.10577498],[0.03834651]
4,71.53853607177734,0.05240092294836285,9.349586486816406,[0.13024132],[0.10875469],[0.03943667]
5,83.92134189605713,0.04454697380689057,8.370186567306519,[0.13335071],[0.11118235],[0.04030746]
6,111.86316680908203,0.03891491276127371,8.956857442855835,[0.13677569],[0.11339403],[0.04115815]
7,70.11759066581726,0.03488264552251709,8.339503288269043,[0.139798],[0.11603389],[0.0420842]
8,70.87220597267151,0.03179572674568103,8.816537618637085,[0.14262501],[0.11801906],[0.04286288]
9,62.98780584335327,0.02914988955558099,8.381512641906738,[0.14401691],[0.11936681],[0.04331]
10,72.13715291023254,0.026545184297543583,8.390566110610962,[0.14586022],[0.12115014],[0.04379061]
11,55.520867586135864,0.02442832098276627,8.431366682052612,[0.14759998],[0.12250613],[0.04429634]
12,72.19574975967407,0.02268956165591424,8.469419240951538,[0.14949424],[0.12398301],[0.0447736]
13,64.31328558921814,0.02101371790084875,7.351894378662109,[0.15081372],[0.12501244],[0.04520731]
14,72.05067539215088,0.020225831121676648,8.780395030975342,[0.15212001],[0.12597835],[0.04555563]
15,72.20665311813354,0.019084723351165803,8.143537521362305,[0.15267194],[0.12658034],[0.04573816]
16,66.21152877807617,0.017882108062769127,8.750598192214966,[0.15254785],[0.12702927],[0.04572309]
17,72.01365661621094,0.01673269899082229,8.560757398605347,[0.15317519],[0.12732017],[0.04587715]
18,55.817397594451904,0.016049168281953293,8.76434063911438,[0.15413839],[0.12802581],[0.04606638]
19,70.88574266433716,0.015326354724373856,8.791088342666626,[0.15505261],[0.12856306],[0.04637786]
20,54.194244623184204,0.014259608905771841,8.18459677696228,[0.15550243],[0.12884977],[0.04648335]
21,70.49379324913025,0.014089459078292352,8.6350736618042,[0.15551337],[0.12931268],[0.04647331]
22,70.33847665786743,0.01362201043362306,7.826014757156372,[0.1556838],[0.12959709],[0.04662067]
