Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00053749],[0.00040836],[0.00018755]
1,908.1536748409271,0.5446676421496603,49.291237592697144,[0.08642573],[0.0722626],[0.02703631]
2,826.6306324005127,0.23953335950470933,48.99530482292175,[0.09612325],[0.08033592],[0.03016612]
3,833.1662061214447,0.16304221531056395,49.06634068489075,[0.10085176],[0.08450327],[0.03159622]
4,820.1569066047668,0.1308711345749672,49.1247124671936,[0.10533876],[0.08846054],[0.03280025]
5,834.6682634353638,0.11232702180065891,49.28375601768494,[0.1087202],[0.09166835],[0.03369449]
6,821.5359497070312,0.09914803177569852,49.39651608467102,[0.11205817],[0.09459605],[0.03458035]
7,859.1547386646271,0.09015935160821736,51.819870471954346,[0.11450882],[0.09641297],[0.03520832]
8,868.1923542022705,0.08434219157906493,54.93890714645386,[0.11666675],[0.09802408],[0.0357894]
9,864.8488690853119,0.07847531969574364,55.659969329833984,[0.11844599],[0.09956012],[0.0362248]
10,849.8760416507721,0.07427534103544071,49.569650650024414,[0.12015337],[0.10059577],[0.03665852]
11,846.607729434967,0.07104581962292543,49.234572887420654,[0.12133942],[0.10135195],[0.03699009]
12,833.5028877258301,0.0677865795471301,50.23993897438049,[0.12287457],[0.10261088],[0.03738027]
13,846.012209892273,0.06472367208187628,50.32947492599487,[0.1239005],[0.10353789],[0.03767667]
14,831.9518682956696,0.0635038089628021,49.801711320877075,[0.12523466],[0.10457688],[0.03802164]
15,850.9956312179565,0.06110170160918826,51.12139678001404,[0.12649379],[0.10510674],[0.03834316]
16,835.8439002037048,0.058839939807475816,49.7211058139801,[0.12741384],[0.10590404],[0.03860942]
17,843.534627199173,0.05711182815521353,54.12588143348694,[0.12843393],[0.10661889],[0.03891587]
18,846.864150762558,0.055166178053677684,54.140002489089966,[0.12962825],[0.10738065],[0.03920222]
19,883.5074052810669,0.053734505342112646,50.180710554122925,[0.13040737],[0.10820066],[0.03942327]
20,841.3960797786713,0.05202989898283373,49.58731460571289,[0.13131503],[0.10876003],[0.03967613]
21,853.6794321537018,0.051561096400925606,50.046690940856934,[0.13234691],[0.10939401],[0.03993067]
22,832.6173250675201,0.050239569093618125,49.056604862213135,[0.13305757],[0.11037635],[0.04016846]
23,840.1569080352783,0.04894393718227594,52.05001902580261,[0.13384202],[0.11061037],[0.04039788]
24,827.170120716095,0.047540619188562186,49.01918816566467,[0.13493587],[0.11161066],[0.04070768]
25,831.1316194534302,0.046658922508923395,59.375247955322266,[0.1355767],[0.11231941],[0.04098399]
26,829.3740839958191,0.04586814854745612,48.8824462890625,[0.13638368],[0.11308134],[0.04114308]
27,831.2145965099335,0.044741074526400276,54.81114172935486,[0.13725966],[0.11365547],[0.04139762]
28,839.2998068332672,0.04408973820902633,49.31542134284973,[0.13810233],[0.11433473],[0.04162536]
29,830.5190670490265,0.043461083980145476,50.48216009140015,[0.13876433],[0.11469453],[0.04184138]
30,841.8208820819855,0.042176336619175143,49.29403614997864,[0.13924743],[0.11538367],[0.04200717]
31,832.8092238903046,0.0416211047106319,49.47296643257141,[0.13969944],[0.11597401],[0.04210597]
32,842.8342535495758,0.04097054484347352,49.25900197029114,[0.14004073],[0.11646284],[0.04225333]
33,830.4664380550385,0.04038653821881973,49.321128606796265,[0.14063355],[0.11683801],[0.04246098]
34,843.118020772934,0.03898664012156201,49.29333281517029,[0.14103258],[0.11728511],[0.04253801]
