Iteration,fit_time,loss,evaluate_time,recall,ndcg,precision
0,0.0,0.0,0.0,[0.00045708],[0.00049396],[0.00034999]
1,50.466511249542236,0.5824002398535458,11.218719482421875,[0.0558921],[0.04655116],[0.01824302]
2,54.40971612930298,0.43977625351963623,7.912233591079712,[0.06445305],[0.05361103],[0.02117355]
3,48.751619815826416,0.3875297609754283,7.874030590057373,[0.06683615],[0.05688153],[0.02219506]
4,48.94087505340576,0.34525041176815224,7.842803955078125,[0.06959621],[0.0600188],[0.02320149]
5,48.86882710456848,0.31059015737940565,7.836920738220215,[0.07142301],[0.06240044],[0.02386463]
6,48.948899030685425,0.28229187842872405,7.742554664611816,[0.07323448],[0.06409809],[0.02439882]
7,48.6127655506134,0.2585865744587147,7.989276170730591,[0.07514333],[0.06571339],[0.0249933]
8,48.81458067893982,0.23964080018828612,7.9583680629730225,[0.07734934],[0.06780718],[0.02562127]
9,48.61563777923584,0.22237999398599972,7.770611047744751,[0.07955874],[0.06953926],[0.02619398]
10,48.70270490646362,0.20781247298976388,7.74937629699707,[0.08153121],[0.07110158],[0.02674493]
11,48.693419218063354,0.19523423582766997,7.873663425445557,[0.08344723],[0.07274359],[0.02737625]
12,48.600255250930786,0.18380859836634963,7.811006784439087,[0.08524213],[0.07420672],[0.02786188]
13,48.64330983161926,0.17400855006593646,7.7704877853393555,[0.08669496],[0.07591909],[0.02834249]
14,48.64635896682739,0.1657411940772124,7.733529329299927,[0.08799053],[0.0770074],[0.0286908]
15,47.78487515449524,0.1579887176101858,7.6917431354522705,[0.08918336],[0.07789025],[0.02905586]
16,48.15388774871826,0.1504779967545259,7.806506156921387,[0.0901724],[0.0785218],[0.02934557]
17,48.26835298538208,0.14415629050045303,7.797565698623657,[0.09108003],[0.07920812],[0.02954317]
18,48.27915692329407,0.13813606939382023,7.7745702266693115,[0.09191287],[0.08006068],[0.02985632]
19,48.15312623977661,0.1331518425822559,7.812582015991211,[0.09289167],[0.08066257],[0.03012091]
20,48.172874212265015,0.12783381421909187,7.815160512924194,[0.09340668],[0.08105105],[0.03025655]
21,48.217381954193115,0.12373727174344087,7.802937746047974,[0.0940993],[0.0817538],[0.03052113]
22,48.211997985839844,0.11971245736184746,7.660886526107788,[0.09516326],[0.08236473],[0.03080916]
23,48.08322072029114,0.11603270482384798,7.840389966964722,[0.09572263],[0.08295476],[0.03100007]
24,48.369807720184326,0.11242780776111165,7.820476055145264,[0.09673329],[0.08380963],[0.03126465]
25,48.151137590408325,0.10874843121402794,7.732061386108398,[0.09731336],[0.08433342],[0.03144048]
26,48.274253606796265,0.1057765418193256,7.779812335968018,[0.09817025],[0.08509278],[0.03166488]
27,48.14451289176941,0.1033525484228375,7.750479221343994,[0.09827128],[0.08511346],[0.03169502]
28,48.19864749908447,0.10031686962177658,7.755753040313721,[0.10011755],[0.0863573],[0.03207013]
29,48.171184062957764,0.0983780145908546,7.820364713668823,[0.10001816],[0.08635267],[0.03212372]
30,48.198291063308716,0.095726492635981,7.8769402503967285,[0.10123659],[0.08744989],[0.03244692]
31,48.20575141906738,0.0932055621248002,7.711960315704346,[0.10147766],[0.08784155],[0.0324151]
32,48.09223961830139,0.0914177271640963,7.684080123901367,[0.10220169],[0.08783422],[0.03260098]
33,48.264567613601685,0.08963362315688471,7.7778708934783936,[0.10264645],[0.0886405],[0.03279523]
34,48.11883020401001,0.08753971341583464,7.6852192878723145,[0.10333496],[0.08890445],[0.03296939]
35,48.02873921394348,0.08552722905696643,10.294715166091919,[0.10378079],[0.0897896],[0.03311508]
36,60.00762057304382,0.08390572843979104,18.91382122039795,[0.10461436],[0.0903821],[0.03337966]
37,56.50034713745117,0.08175256238742308,10.576515197753906,[0.10551972],[0.0910341],[0.03361913]
38,53.63330364227295,0.08047074167942157,10.328956127166748,[0.10600463],[0.09134794],[0.03371961]
39,54.88071298599243,0.07896897921131717,9.882775783538818,[0.10597431],[0.09137362],[0.03379999]
40,55.63536977767944,0.07736624560949176,14.55185580253601,[0.10674516],[0.09177018],[0.03394233]
41,55.458269119262695,0.0763363539796285,12.2819242477417,[0.10700898],[0.09225854],[0.03406457]
42,55.93528747558594,0.07513081027439447,11.941722393035889,[0.10787935],[0.09293895],[0.03431241]
43,54.45902967453003,0.07375733492275079,13.927686929702759,[0.1085203],[0.09341875],[0.03448155]
44,54.69584321975708,0.07273348202609052,9.821630001068115,[0.10818513],[0.09345804],[0.03448322]
45,50.42722249031067,0.07151715269293447,12.35124135017395,[0.10892533],[0.09368186],[0.03455523]
46,61.37764024734497,0.070466381808122,11.000906944274902,[0.11004026],[0.09485575],[0.03491192]
47,56.422078371047974,0.06978183211476514,13.27983283996582,[0.11041433],[0.09485285],[0.03507938]
48,51.63005876541138,0.06901577954189946,11.869164943695068,[0.11075644],[0.09532473],[0.03517315]
49,56.96865153312683,0.0681025411068189,9.964353084564209,[0.11142076],[0.09559817],[0.03532219]
50,53.052388191223145,0.06683720534460412,10.309574842453003,[0.11147771],[0.09578353],[0.03525018]
